id,name,score,subject
1,홍길동,67,영어
2,이몽룡,61,영어
3,홍길동,73,과학
4,홍길동,91,수학
5,홍길동,54,과학
6,밍키,78,과학
7,홍길동,76,수학
8,밍키,84,과학
9,이몽룡,74,영어
10,밍키,66,과학
11,성춘향,57,영어
12,성춘향,98,과학
13,성춘향,76,영어
14,성춘향,94,수학
15,홍길동,64,과학
16,성춘향,55,과학
17,이몽룡,69,영어
18,성춘향,88,영어
19,홍길동,82,수학
20,이몽룡,70,과학
21,이몽룡,74,영어
22,밍키,56,과학
23,홍길동,89,과학
24,성춘향,88,영어
25,밍키,66,과학
26,홍길동,78,수학
27,밍키,53,영어
28,이몽룡,99,과학
29,밍키,97,수학
30,이몽룡,73,영어
31,이몽룡,83,과학
32,성춘향,69,영어
33,이몽룡,78,과학
34,이몽룡,71,수학
35,밍키,51,영어
36,밍키,73,과학
37,이몽룡,50,과학
38,홍길동,80,과학
39,밍키,51,영어
40,이몽룡,78,과학
41,홍길동,78,과학
42,이몽룡,70,수학
43,이몽룡,57,수학
44,이몽룡,86,과학
45,홍길동,64,영어
46,밍키,54,수학
47,밍키,53,영어
48,홍길동,81,과학
49,이몽룡,91,수학
50,밍키,75,과학
51,성춘향,90,영어
52,성춘향,76,영어
53,홍길동,58,영어
54,밍키,78,과학
55,이몽룡,61,과학
56,밍키,94,영어
57,이몽룡,94,영어
58,이몽룡,62,과학
59,홍길동,59,과학
60,홍길동,54,영어
61,밍키,67,영어
62,밍키,64,수학
63,밍키,60,영어
64,밍키,50,수학
65,이몽룡,73,영어
66,성춘향,59,수학
67,밍키,69,수학
68,밍키,60,과학
69,홍길동,56,수학
70,홍길동,71,과학
71,홍길동,72,영어
72,성춘향,55,영어
73,성춘향,88,수학
74,이몽룡,91,과학
75,홍길동,87,과학
76,홍길동,76,영어
77,이몽룡,57,수학
78,성춘향,83,수학
79,이몽룡,63,과학
80,성춘향,67,수학
81,성춘향,95,수학
82,이몽룡,63,영어
83,밍키,76,수학
84,성춘향,63,과학
85,홍길동,98,과학
86,성춘향,77,과학
87,홍길동,57,과학
88,밍키,55,수학
89,이몽룡,96,수학
90,홍길동,70,수학
91,이몽룡,53,영어
92,밍키,83,과학
93,밍키,97,수학
94,밍키,55,영어
95,밍키,50,수학
96,밍키,51,과학
97,성춘향,90,영어
98,밍키,54,과학
99,밍키,93,과학
100,성춘향,70,과학
101,밍키,80,영어
102,성춘향,93,영어
103,홍길동,90,수학
104,이몽룡,53,영어
105,성춘향,80,영어
106,성춘향,89,수학
107,홍길동,85,수학
108,밍키,59,과학
109,성춘향,91,과학
110,밍키,82,수학
111,성춘향,55,영어
112,성춘향,96,영어
113,홍길동,82,영어
114,홍길동,92,수학
